variant,canonical,region,province,latitude,longitude,is_province_correct,candidate_region,found_province_shape
Jubail,الجبيل,Eastern,Eastern Province,27.03110691,49.5910493,True,Eastern,Eastern Province
Al Jubail,الجبيل,Eastern,Eastern Province,27.03110691,49.5910493,True,Eastern,Eastern Province
Al-Jubail,الجبيل,Eastern,Eastern Province,27.03110691,49.5910493,True,Eastern,Eastern Province
Jubayl,الجبيل,Eastern,Eastern Province,27.03110691,49.5910493,True,Eastern,Eastern Province
الجبيل,الجبيل,Eastern,Eastern Province,27.03110691,49.5910493,True,Eastern,Eastern Province
Dammam,الدمام,Eastern,Eastern Province,26.41207719,50.08020949,True,Eastern,Eastern Province
Damam,الدمام,Eastern,Eastern Province,26.41207719,50.08020949,True,Eastern,Eastern Province
Al Dammam,الدمام,Eastern,Eastern Province,26.41207719,50.08020949,True,Eastern,Eastern Province
الدمام,الدمام,Eastern,Eastern Province,26.41207719,50.08020949,True,Eastern,Eastern Province
دمام,الدمام,Eastern,Eastern Province,26.41207719,50.08020949,True,Eastern,Eastern Province
Jeddah,جدة,Western,Makkah Province,21.5493629,39.21358274,True,Western,Makkah Province
Jiddah,جدة,Western,Makkah Province,21.5493629,39.21358274,True,Western,Makkah Province
Jedda,جدة,Western,Makkah Province,21.5493629,39.21358274,True,Western,Makkah Province
Jeda,جدة,Western,Makkah Province,21.5493629,39.21358274,True,Western,Makkah Province
جدة,جدة,Western,Makkah Province,21.5493629,39.21358274,True,Western,Makkah Province
جده,جدة,Western,Makkah Province,21.5493629,39.21358274,True,Western,Makkah Province
Riyadh,الرياض,Central,Riyadh Province,24.66977271,46.69783445,True,Central,Riyadh Province
Riyad,الرياض,Central,Riyadh Province,24.66977271,46.69783445,True,Central,Riyadh Province
Al Riyadh,الرياض,Central,Riyadh Province,24.66977271,46.69783445,True,Central,Riyadh Province
الرياض,الرياض,Central,Riyadh Province,24.66977271,46.69783445,True,Central,Riyadh Province
رياض,الرياض,Central,Riyadh Province,24.66977271,46.69783445,True,Central,Riyadh Province
Yanbu,ينبع,Western,Madinah Province,24.06548315,38.11984215,True,Western,Madinah Province
Yenbu,ينبع,Western,Madinah Province,24.06548315,38.11984215,True,Western,Madinah Province
Yanbo,ينبع,Western,Madinah Province,24.06548315,38.11984215,True,Western,Madinah Province
ينبع,ينبع,Western,Madinah Province,24.06548315,38.11984215,True,Western,Madinah Province
Sudair,سدير,Central,Riyadh Province,23.9846015,47.1228576,True,Central,Riyadh Province
Sudayr,سدير,Central,Riyadh Province,23.9846015,47.1228576,True,Central,Riyadh Province
سدير,سدير,Central,Riyadh Province,23.9846015,47.1228576,True,Central,Riyadh Province
Al Hasa,الْأَحْسَاء,Eastern,Eastern Province,25.44539798,49.5750919,True,Eastern,Eastern Province
Al-Hasa,الْأَحْسَاء,Eastern,Eastern Province,25.44539798,49.5750919,True,Eastern,Eastern Province
Al Ahsa,الْأَحْسَاء,Eastern,Eastern Province,25.44539798,49.5750919,True,Eastern,Eastern Province
Al-Ahsa,الْأَحْسَاء,Eastern,Eastern Province,25.44539798,49.5750919,True,Eastern,Eastern Province
Ahsa,الْأَحْسَاء,Eastern,Eastern Province,25.44539798,49.5750919,True,Eastern,Eastern Province
Hasa,الْأَحْسَاء,Eastern,Eastern Province,25.44539798,49.5750919,True,Eastern,Eastern Province
Al Hofuf,Hofuf,Eastern,Eastern Province,25.380026,49.5887652,True,Eastern,Eastern Province
الاحساء,الْأَحْسَاء,Eastern,Eastern Province,25.44539798,49.5750919,True,Eastern,Eastern Province
الأحساء,الْأَحْسَاء,Eastern,Eastern Province,25.44539798,49.5750919,True,Eastern,Eastern Province
الْأَحْسَاء,الْأَحْسَاء,Eastern,Eastern Province,25.44539798,49.5750919,True,Eastern,Eastern Province
الإحساء,الْأَحْسَاء,Eastern,Eastern Province,25.44539798,49.5750919,True,Eastern,Eastern Province
Qassim,القصيم,Northern,Qassim Province,26.207826,43.483738,True,Northern,Qassim Province
Al Qassim,القصيم,Northern,Qassim Province,26.207826,43.483738,True,Northern,Qassim Province
Al-Qassim,القصيم,Northern,Qassim Province,26.207826,43.483738,True,Northern,Qassim Province
Qaseem,القصيم,Northern,Qassim Province,26.207826,43.483738,True,Northern,Qassim Province
Qasim,القصيم,Northern,Qassim Province,26.207826,43.483738,True,Northern,Qassim Province
القصيم,القصيم,Northern,Qassim Province,26.207826,43.483738,True,Northern,Qassim Province
قصيم,القصيم,Northern,Qassim Province,26.207826,43.483738,True,Northern,Qassim Province
Al Kharj,الخرج,Central,Riyadh Province,24.16793487,47.30680069,True,Central,Riyadh Province
Al-Kharj,الخرج,Central,Riyadh Province,24.16793487,47.30680069,True,Central,Riyadh Province
Kharj,الخرج,Central,Riyadh Province,24.16793487,47.30680069,True,Central,Riyadh Province
Al Khurj,الخرج,Central,Riyadh Province,24.16793487,47.30680069,True,Central,Riyadh Province
الخرج,الخرج,Central,Riyadh Province,24.16793487,47.30680069,True,Central,Riyadh Province
خرج,الخرج,Central,Riyadh Province,24.16793487,47.30680069,True,Central,Riyadh Province
Rabigh,رابغ,Western,Makkah Province,22.63787831,39.15239128,True,Western,Makkah Province
Rabegh,رابغ,Western,Makkah Province,22.63787831,39.15239128,True,Western,Makkah Province
رابغ,رابغ,Western,Makkah Province,22.63787831,39.15239128,True,Western,Makkah Province
Hail,حَائِل,Northern,Hail Province,27.51770854,41.69398413,True,Northern,Hail Province
Haail,حَائِل,Northern,Hail Province,27.51770854,41.69398413,True,Northern,Hail Province
Ha'il,حَائِل,Northern,Hail Province,27.51770854,41.69398413,True,Northern,Hail Province
حائل,حَائِل,Northern,Hail Province,27.51770854,41.69398413,True,Northern,Hail Province
حَائِل,حَائِل,Northern,Hail Province,27.51770854,41.69398413,True,Northern,Hail Province
Jazan,جازان,Southern,Jazan Province,16.89018854,42.594648,True,Southern,Jazan Province
Jizan,جازان,Southern,Jazan Province,16.89018854,42.594648,True,Southern,Jazan Province
Gizan,جازان,Southern,Jazan Province,16.89018854,42.594648,True,Southern,Jazan Province
Gazan,جازان,Southern,Jazan Province,16.89018854,42.594648,True,Southern,Jazan Province
جازان,جازان,Southern,Jazan Province,16.89018854,42.594648,True,Southern,Jazan Province
جيزان,جازان,Southern,Jazan Province,16.89018854,42.594648,True,Southern,Jazan Province
Madinah,المدينة المنورة,Western,Madinah Province,24.45590363,39.61661361,True,Western,Madinah Province
Madina,المدينة المنورة,Western,Madinah Province,24.45590363,39.61661361,True,Western,Madinah Province
Medina,المدينة المنورة,Western,Madinah Province,24.45590363,39.61661361,True,Western,Madinah Province
Al Madinah,المدينة المنورة,Western,Madinah Province,24.45590363,39.61661361,True,Western,Madinah Province
المدينة,المدينة المنورة,Western,Madinah Province,24.45590363,39.61661361,True,Western,Madinah Province
المدينه,المدينة المنورة,Western,Madinah Province,24.45590363,39.61661361,True,Western,Madinah Province
المدينة المنورة,المدينة المنورة,Western,Madinah Province,24.45590363,39.61661361,True,Western,Madinah Province
Turaif,طريف,Northern,Northern Borders Province,31.63301903,38.77688919,True,Northern,Northern Borders Province
Turayf,طريف,Northern,Northern Borders Province,31.63301903,38.77688919,True,Northern,Northern Borders Province
Tarif,طريف,Northern,Northern Borders Province,31.63301903,38.77688919,True,Northern,Northern Borders Province
طريف,طريف,Northern,Northern Borders Province,31.63301903,38.77688919,True,Northern,Northern Borders Province
Makkah,مكة المكرمة,Western,Makkah Province,21.43032907,39.83634631,True,Western,Makkah Province
Mecca,مكة المكرمة,Western,Makkah Province,21.43032907,39.83634631,True,Western,Makkah Province
Mekkah,مكة المكرمة,Western,Makkah Province,21.43032907,39.83634631,True,Western,Makkah Province
Makka,مكة المكرمة,Western,Makkah Province,21.43032907,39.83634631,True,Western,Makkah Province
مكة,مكة المكرمة,Western,Makkah Province,21.43032907,39.83634631,True,Western,Makkah Province
مكه,مكة المكرمة,Western,Makkah Province,21.43032907,39.83634631,True,Western,Makkah Province
مكة المكرمة,مكة المكرمة,Western,Makkah Province,21.43032907,39.83634631,True,Western,Makkah Province
Taif,الطائف,Western,Makkah Province,21.3476881,40.48415801,True,Western,Makkah Province
Tayef,الطائف,Western,Makkah Province,21.3476881,40.48415801,True,Western,Makkah Province
Al Taif,الطائف,Western,Makkah Province,21.3476881,40.48415801,True,Western,Makkah Province
الطائف,الطائف,Western,Makkah Province,21.3476881,40.48415801,True,Western,Makkah Province
طائف,الطائف,Western,Makkah Province,21.3476881,40.48415801,True,Western,Makkah Province
Tabuk,تبوك,Northern,Tabuk Province,28.40007787,36.54400242,True,Northern,Tabuk Province
