pickup_date,entity_mapping,commodity,vehicle_type,pickup_city,destination_city,distance,weight,total_carrier_price,days_ago,lane,cost_per_km,pickup_province,dest_province,total_shipper_price,container
2020-08-09 20:30:00,Domestic,سلع إستهلاكية,تريلا ستائر,جدة,الْأَحْسَاء,1276.821,9.608516124765141e-08,1700.0,2098,جدة → الْأَحْسَاء,1.3314317355369312,Makkah Province,Eastern Province,1850.0,0
2021-08-19 16:00:00,Domestic,زيوت,تريلا ستائر,جدة,الرياض,952.121,1.7256311504988011e-06,1400.0,1723,جدة → الرياض,1.4704013460474037,Makkah Province,Riyadh Province,1450.0,0
2020-11-17 07:30:00,Domestic,سلع إستهلاكية,تريلا فرش,جدة,تبوك,993.1,2.0596305193750666e-07,1850.0,1999,جدة → تبوك,1.862853690464203,Makkah Province,Tabuk Province,1800.0,0
2021-01-26 16:00:00,Domestic,منظفات,تريلا ستائر,الدمام,رابغ,1395.23,3.558512841009886e-07,1950.0,1928,الدمام → رابغ,1.397619030554102,Eastern Province,Makkah Province,2200.0,0
2021-04-13 15:00:00,Domestic,بلاستيك,تريلا فرش,الجبيل,جدة,1418.391,6.389570182883056e-07,1950.0,1852,الجبيل → جدة,1.374797217410432,Eastern Province,Makkah Province,1950.0,0
2020-03-09 16:00:00,Domestic,بلاستيك,تريلا فرش,الدمام,جدة,1382.054,2.957367736884784e-08,1900.0,2251,الدمام → جدة,1.3747653854335646,Eastern Province,Makkah Province,2000.0,0
2021-04-15 15:00:00,Domestic,بلاستيك,تريلا فرش,الجبيل,جدة,1411.734,6.488752365943804e-07,2000.0,1850,الجبيل → جدة,1.4166974798368532,Eastern Province,Makkah Province,2000.0,0
2021-06-02 15:00:00,Domestic,علف دواجن,تريلا فرش,الدمام,الرياض,449.645,9.390971688598927e-07,950.0,1802,الدمام → الرياض,2.112777858088047,Eastern Province,Riyadh Province,950.0,0
2020-10-27 23:00:00,Domestic,سلع إستهلاكية,تريلا ستائر,الرياض,مكة المكرمة,877.31,1.7656058696348242e-07,2122.0,2019,الرياض → مكة المكرمة,2.4187573377711415,Riyadh Province,Makkah Province,1700.0,0
2020-10-19 23:00:00,Domestic,سلع إستهلاكية,تريلا فرش,جدة,عسير,703.642,1.6601049407347972e-07,1700.0,2027,جدة → عسير,2.4160013188524845,Makkah Province,Asir Province,1800.0,0
2020-06-16 11:00:00,Domestic,سلع إستهلاكية,تريلا ستائر,مكة المكرمة,الرياض,869.129,6.290621402043736e-08,1500.0,2153,مكة المكرمة → الرياض,1.7258657805688222,Makkah Province,Riyadh Province,1550.0,0
2020-12-23 01:30:00,Domestic,سلع إستهلاكية,تريلا فرش,جدة,الرياض,955.178,2.717698763584685e-07,1300.0,1963,جدة → الرياض,1.3610028706691317,Makkah Province,Riyadh Province,1450.0,0
2021-06-16 15:00:00,Domestic,سلع إستهلاكية,تريلا ستائر,جدة,الرياض,944.434,1.046013812727572e-06,1500.0,1788,جدة → الرياض,1.5882528583257274,Makkah Province,Riyadh Province,1650.0,0
2021-07-28 15:00:00,Domestic,زيوت,تريلا فرش,ينبع,جدة,345.226,1.4454999604324324e-06,700.0,1746,ينبع → جدة,2.027657244819336,Madinah Province,Makkah Province,800.0,0
2021-05-22 15:00:00,Domestic,زجاج,تريلا ستائر,الرياض,الدمام,409.663,8.628155752494005e-07,650.0,1813,الرياض → الدمام,1.58667001901563,Riyadh Province,Eastern Province,700.0,0
2020-09-30 22:30:00,Domestic,سلع إستهلاكية,تريلا ستائر,الرياض,جدة,956.44,1.4341175986315224e-07,1650.0,2046,الرياض → جدة,1.7251474216887623,Riyadh Province,Makkah Province,1700.0,0
2021-05-25 15:00:00,Domestic,مواد بناء,تريلا فرش,الرياض,جدة,985.383,8.829829333184149e-07,1350.0,1810,الرياض → جدة,1.3700256651474603,Riyadh Province,Makkah Province,1400.0,0
2021-03-17 20:00:00,Domestic,مواد بناء,تريلا فرش,الرياض,جدة,985.287,5.23006906363786e-07,1400.0,1878,الرياض → جدة,1.4209057868418034,Riyadh Province,Makkah Province,1400.0,0
2021-01-30 02:00:00,Domestic,فلز,تريلا فرش,الدمام,جدة,1373.73,3.641689135824787e-07,2530.0,1925,الدمام → جدة,1.8417010620718772,Eastern Province,Makkah Province,2666.67,0
2021-06-12 15:00:00,Domestic,مواد بناء,تريلا فرش,ضرما,جدة,897.109,1.01428104299332e-06,1400.0,1792,ضرما → جدة,1.5605684482041757,Riyadh Province,Makkah Province,1400.0,0
2021-09-16 22:30:00,Domestic,سيراميك,تريلا ستائر,الرياض,جدة,973.439,2.140926453226802e-06,1350.0,1695,الرياض → جدة,1.3868357442017425,Riyadh Province,Makkah Province,1350.0,0
2020-08-05 07:30:00,Domestic,ورق,تريلا ستائر,جدة,الرياض,954.263,9.245543252430775e-08,1450.0,2103,جدة → الرياض,1.519497245518269,Makkah Province,Riyadh Province,1500.0,0
2021-01-18 22:00:00,Domestic,بلاستيك,تريلا فرش,الدمام,جدة,1365.287,3.3458796499416686e-07,2200.0,1936,الدمام → جدة,1.6113828081568198,Eastern Province,Makkah Province,2300.0,0
2021-09-01 19:30:00,Domestic,بلاستيك,تريلا فرش,الجبيل,جدة,1411.264,1.9073486328125e-06,2500.0,1710,الجبيل → جدة,1.7714616117182895,Eastern Province,Makkah Province,2300.0,0
2021-11-01 22:30:00,Domestic,مياه,تريلا ستائر,الرياض,المدينة المنورة,830.49,3.05113570327122e-06,2000.0,1649,الرياض → المدينة المنورة,2.4082168358438993,Riyadh Province,Madinah Province,2285.0,0
2021-09-18 22:30:00,Domestic,مياه,تريلا ستائر,الرياض,الدمام,406.393,2.174159010867749e-06,700.0,1693,الرياض → الدمام,1.722470613420999,Riyadh Province,Eastern Province,750.0,0
2021-07-05 19:30:00,Domestic,منظفات,تريلا ستائر,الدمام,جدة,1346.005,1.220205488344447e-06,1700.0,1768,الدمام → جدة,1.2629967942169604,Eastern Province,Makkah Province,1830.0,0
2021-03-16 13:00:00,Domestic,كرتون,تريلا فرش,جدة,ينبع,389.977,5.150126165830166e-07,750.0,1880,جدة → ينبع,1.923190341994528,Makkah Province,Madinah Province,850.0,0
2021-09-01 22:00:00,Domestic,مياه,تريلا ستائر,الرياض,ينبع,1039.123,1.9073486328125e-06,2000.0,1710,الرياض → ينبع,1.9246999633344657,Riyadh Province,Madinah Province,2285.0,0
2021-06-17 15:00:00,Domestic,مواد بناء,تريلا فرش,الرياض,جدة,946.13,1.0541009317200086e-06,1300.0,1787,الرياض → جدة,1.3740183695686639,Riyadh Province,Makkah Province,1400.0,0
2021-02-26 14:00:00,Domestic,منظفات,تريلا ستائر,الدمام,جدة,1345.909,4.483445234709559e-07,1800.0,1898,الدمام → جدة,1.3373861085704901,Eastern Province,Makkah Province,1830.0,0
2021-10-08 22:30:00,Domestic,بلاستيك,تريلا فرش,الجبيل,جدة,1411.265,2.5362196228333154e-06,2300.0,1673,الجبيل → جدة,1.6297435279695875,Eastern Province,Makkah Province,2300.0,0
2020-12-26 06:30:00,Domestic,مياه,تريلا ستائر,الرياض,الدمام,406.888,2.781221960964482e-07,650.0,1960,الرياض → الدمام,1.597491201509998,Riyadh Province,Eastern Province,650.0,0
2021-03-20 13:00:00,Domestic,منظفات,تريلا ستائر,الدمام,جدة,1345.917,5.311252876076403e-07,1800.0,1876,الدمام → جدة,1.3373781592772809,Eastern Province,Makkah Province,1830.0,0
2021-09-02 22:00:00,Domestic,سلع إستهلاكية,تريلا فرش,الرياض,جدة,983.053,1.922095049318605e-06,925.0,1709,الرياض → جدة,0.9409462155143212,Riyadh Province,Makkah Province,950.0,0
2021-06-21 15:00:00,Domestic,مواد بناء,تريلا فرش,ضرما,جدة,897.102,1.0870795054338742e-06,1400.0,1783,ضرما → جدة,1.5605806251685985,Riyadh Province,Makkah Province,1400.0,0
2021-09-22 15:00:00,Domestic,بلاستيك,تريلا فرش,جدة,الملك عبدالله,169.469,2.224977568771586e-06,325.0,1690,جدة → الملك عبدالله,1.917754869622173,Makkah Province,,337.5,0
2020-12-02 23:30:00,Domestic,بلاستيك,تريلا فرش,جدة,ينبع,352.554,2.3297309122902063e-07,325.0,1983,جدة → ينبع,0.9218445968560846,Makkah Province,Madinah Province,375.0,0
2021-06-30 21:30:00,Domestic,مياه,تريلا ستائر,الرياض,ٱلْبَاحَة,925.625,1.1741108067940878e-06,2200.0,1773,الرياض → ٱلْبَاحَة,2.37677245104659,Riyadh Province,Al Bahah Province,1900.0,0
2021-04-20 15:00:00,Domestic,بلاستيك,تريلا فرش,الدمام,جدة,1385.301,6.743495761743051e-07,2000.0,1845,الدمام → جدة,1.4437295576917941,Eastern Province,Makkah Province,2150.0,0
2021-08-30 19:30:00,Domestic,فلز,تريلا فرش,الدمام,جدة,1373.826,1.8781943377197857e-06,2500.0,1712,الدمام → جدة,1.8197355414732288,Eastern Province,Makkah Province,1754.43,0
2021-01-27 13:00:00,Domestic,مياه,تريلا ستائر,الرياض,جدة,955.806,3.558512841009886e-07,1650.0,1928,الرياض → جدة,1.7262917370261328,Riyadh Province,Makkah Province,1600.0,0
2021-05-03 16:00:00,Domestic,مواد بناء,تريلا فرش,الرياض,القصيم,394.473,7.51124585054035e-07,900.0,1831,الرياض → القصيم,2.2815249712908106,Riyadh Province,Qassim Province,1000.0,0
2021-08-25 21:00:00,Domestic,مواد بناء,تريلا فرش,الرياض,جدة,981.119,1.8072433620735898e-06,1350.0,1717,الرياض → جدة,1.375979876039502,Riyadh Province,Makkah Province,1500.0,0
2020-09-30 22:00:00,Domestic,سيراميك,تريلا ستائر,ينبع,الرياض,1058.959,1.4341175986315224e-07,1450.0,2046,ينبع → الرياض,1.36926925405044,Madinah Province,Riyadh Province,1130.43,0
2021-03-24 13:00:00,Domestic,بلاستيك,تريلا ستائر,الرياض,جدة,955.813,5.477420592293906e-07,1350.0,1872,الرياض → جدة,1.4124101680977346,Riyadh Province,Makkah Province,1498.0,0
2020-11-11 01:30:00,Domestic,سلع إستهلاكية,تريلا ستائر,الرياض,مكة المكرمة,877.31,1.966620908582934e-07,1600.0,2005,الرياض → مكة المكرمة,1.823756710854772,Riyadh Province,Makkah Province,1700.0,0
2021-06-13 18:00:00,Domestic,منظفات,تريلا ستائر,الدمام,جدة,1352.483,1.0300252331660331e-06,1830.0,1790,الدمام → جدة,1.3530669147042884,Eastern Province,Makkah Province,1830.0,0
2021-09-27 19:30:00,Domestic,مواد بناء,تريلا فرش,ضرما,جدة,897.102,2.330205931182207e-06,1400.0,1684,ضرما → جدة,1.5605806251685985,Riyadh Province,Makkah Province,1400.0,0
2020-07-28 06:00:00,Domestic,ورق,تريلا ستائر,جدة,الرياض,958.38,8.693090738485183e-08,1800.0,2111,جدة → الرياض,1.8781694108808615,Makkah Province,Riyadh Province,2400.0,0
2021-08-07 23:00:00,Domestic,مواد بناء,تريلا فرش,الرياض,الدمام,408.886,1.5732967268663476e-06,700.0,1735,الرياض → الدمام,1.7119686171695778,Riyadh Province,Eastern Province,1000.0,0
2020-08-20 13:30:00,Domestic,بلاستيك,تريلا فرش,جدة,الجبيل,1417.704,1.0377771416856354e-07,3250.0,2088,جدة → الجبيل,2.292439042282451,Makkah Province,Eastern Province,3450.0,0
2021-10-10 22:30:00,Domestic,بلاستيك,تريلا فرش,الجبيل,جدة,1411.265,2.57558812364233e-06,2300.0,1671,الجبيل → جدة,1.6297435279695875,Eastern Province,Makkah Province,2300.0,0
2020-08-29 10:00:00,Domestic,بلاستيك,تريلا فرش,الدمام,جدة,1364.258,1.1122620004854277e-07,2150.0,2079,الدمام → جدة,1.5759482443936557,Eastern Province,Makkah Province,2300.0,0
2020-12-12 06:00:00,Domestic,مياه,تريلا ستائر,الرياض,جدة,959.316,2.4969437666431137e-07,1600.0,1974,الرياض → جدة,1.6678550133636882,Riyadh Province,Makkah Province,1600.0,0
2021-09-16 11:00:00,Domestic,منتجات الصلب,تريلا فرش,رابغ,ينبع,178.726,2.1245011504305616e-06,650.0,1696,رابغ → ينبع,3.636851940959905,Makkah Province,Madinah Province,800.0,0
2021-06-22 05:30:00,Domestic,مواد بناء,تريلا فرش,الرياض,الْأَحْسَاء,481.357,1.0954841184587813e-06,920.0,1782,الرياض → الْأَحْسَاء,1.9112633658594347,Riyadh Province,Eastern Province,950.0,0
2021-08-08 21:30:00,Domestic,مياه,تريلا ستائر,الخرج,الطائف,1003.964,1.5854604647498862e-06,1850.0,1734,الخرج → الطائف,1.8426955548206907,Riyadh Province,Makkah Province,1800.0,0
2021-02-25 22:30:00,Domestic,سلع إستهلاكية,تريلا ستائر,جدة,الرياض,945.056,4.483445234709559e-07,1500.0,1898,جدة → الرياض,1.5872075305590356,Makkah Province,Riyadh Province,1650.0,0
2020-11-29 23:30:00,Domestic,سلع إستهلاكية,تريلا ستائر,جدة,عسير,717.515,2.2765197847137855e-07,1800.0,1986,جدة → عسير,2.508658355574448,Makkah Province,Asir Province,1700.0,0
2020-11-23 00:00:00,Domestic,سلع إستهلاكية,تريلا ستائر,ينبع,الرياض,1054.777,2.157038938123501e-07,1500.0,1993,ينبع → الرياض,1.422101543738629,Madinah Province,Riyadh Province,1600.0,0
2021-09-30 00:00:00,Domestic,منتجات الصلب,تريلا فرش,جدة,الرياض,948.703,2.36637658188652e-06,1350.0,1682,جدة → الرياض,1.4229953947652743,Makkah Province,Riyadh Province,1300.0,0
2020-07-25 23:00:00,Domestic,سلع إستهلاكية,تريلا ستائر,جدة,الدمام,1350.138,8.560214698784042e-08,1650.0,2113,جدة → الدمام,1.2220972967207797,Makkah Province,Eastern Province,2000.0,0
2021-10-03 22:30:00,Domestic,سلع إستهلاكية,تريلا ستائر,سدير,جدة,1130.274,2.4404109766888944e-06,1400.0,1678,سدير → جدة,1.2386377108559519,Riyadh Province,Makkah Province,1430.0,0
2021-09-14 19:30:00,Domestic,بلاستيك,تريلا ستائر,الدمام,الرياض,395.891,2.1082018634400176e-06,900.0,1697,الدمام → الرياض,2.2733530188865116,Eastern Province,Riyadh Province,950.0,0
2020-08-22 17:00:00,Domestic,بلاستيك,تريلا فرش,الدمام,جدة,1365.921,1.062034032512115e-07,2100.0,2085,الدمام → جدة,1.5374241994961642,Eastern Province,Makkah Province,2300.0,0
2021-04-15 15:00:00,Domestic,بلاستيك,تريلا فرش,الجبيل,جدة,1411.734,6.488752365943804e-07,2000.0,1850,الجبيل → جدة,1.4166974798368532,Eastern Province,Makkah Province,2000.0,0
2021-09-27 18:00:00,Domestic,صودا,تريلا ستائر,جدة,الرياض,951.129,2.330205931182207e-06,1500.0,1684,جدة → الرياض,1.5770731414981565,Makkah Province,Riyadh Province,1450.0,0
2020-08-13 22:00:00,Domestic,سلع إستهلاكية,تريلا ستائر,الرياض,جدة,956.44,9.909127904686803e-08,1700.0,2094,الرياض → جدة,1.7774246162853915,Riyadh Province,Makkah Province,1700.0,0
2021-03-21 05:00:00,Domestic,مواد بناء,تريلا فرش,الدمام,راس الخير,207.035,5.352316133067003e-07,750.0,1875,الدمام → راس الخير,3.622575892964958,Eastern Province,Eastern Province,850.0,0
2020-11-02 01:30:00,Domestic,سلع إستهلاكية,تريلا ستائر,الرياض,جدة,955.619,1.8349221895539674e-07,2009.0,2014,الرياض → جدة,2.1023022773720488,Riyadh Province,Makkah Province,1600.0,0
2021-03-20 13:00:00,Domestic,سلع إستهلاكية,تريلا ستائر,جدة,الرياض,946.929,5.311252876076403e-07,1900.0,1876,جدة → الرياض,2.006486230752253,Makkah Province,Riyadh Province,1900.0,0
2020-10-13 03:00:00,Domestic,سلع إستهلاكية,تريلا ستائر,الرياض,جدة,956.44,1.5729760059987235e-07,1650.0,2034,الرياض → جدة,1.7251474216887623,Riyadh Province,Makkah Province,1700.0,0
2021-03-17 13:00:00,Domestic,مياه,تريلا ستائر,الرياض,جدة,955.813,5.189943692733117e-07,1650.0,1879,الرياض → جدة,1.7262790943416757,Riyadh Province,Makkah Province,1498.0,0
2021-04-05 13:00:00,Domestic,اجهزه كهربائيه,تريلا فرش,الدمام,جدة,1376.346,6.007771729921693e-07,1950.0,1860,الدمام → جدة,1.4167949047695856,Eastern Province,Makkah Province,2000.0,0
2021-06-10 15:00:00,Domestic,سلع إستهلاكية,تريلا ستائر,جدة,الرياض,953.282,9.987775066572457e-07,1350.0,1794,جدة → الرياض,1.416160170862347,Makkah Province,Riyadh Province,1450.0,0
2021-03-04 22:30:00,Domestic,سلع إستهلاكية,تريلا ستائر,ينبع,الرياض,1060.606,4.731788379015656e-07,1550.0,1891,ينبع → الرياض,1.4614286549387803,Madinah Province,Riyadh Province,1600.0,0
2020-08-31 11:00:00,Domestic,بلاستيك,تريلا فرش,الدمام,جدة,1365.921,1.1295271012959952e-07,2200.0,2077,الدمام → جدة,1.610634875662648,Eastern Province,Makkah Province,2300.0,0
2021-09-26 19:30:00,Domestic,مياه,تريلا ستائر,الخرج,الدمام,482.106,2.3123284660597713e-06,700.0,1685,الخرج → الدمام,1.4519628463449947,Riyadh Province,Eastern Province,850.0,0
2021-09-05 22:00:00,Domestic,سلع إستهلاكية,تريلا فرش,الرياض,جدة,983.053,1.967021891408913e-06,925.0,1706,الرياض → جدة,0.9409462155143212,Riyadh Province,Makkah Province,950.0,0
2021-07-08 19:30:00,Domestic,علف دواجن,تريلا فرش,الدمام,الرياض,449.645,1.2487264396428818e-06,900.0,1765,الدمام → الرياض,2.0015790234518342,Eastern Province,Riyadh Province,950.0,0
2021-02-23 01:00:00,Domestic,سلع إستهلاكية,تريلا فرش,ينبع,الدمام,1458.12,4.381043204025464e-07,2000.0,1901,ينبع → الدمام,1.3716292211889283,Madinah Province,Eastern Province,1900.0,0
2021-02-28 14:30:00,Domestic,سلع إستهلاكية,تريلا ستائر,ينبع,الرياض,1060.606,4.5530395694275716e-07,1550.0,1896,ينبع → الرياض,1.4614286549387803,Madinah Province,Riyadh Province,1600.0,0
2021-07-05 21:30:00,Domestic,مياه,تريلا ستائر,الرياض,المدينة المنورة,830.432,1.220205488344447e-06,2000.0,1768,الرياض → المدينة المنورة,2.4083850333320487,Riyadh Province,Madinah Province,2285.0,0
2020-08-19 17:00:00,Domestic,بلاستيك,تريلا فرش,الدمام,جدة,1364.258,1.0377771416856354e-07,2200.0,2088,الدمام → جدة,1.6125982035656012,Eastern Province,Makkah Province,2300.0,0
2021-06-27 15:00:00,Domestic,سلع إستهلاكية,تريلا ستائر,جدة,الرياض,951.005,1.1384919770796495e-06,1600.0,1777,جدة → الرياض,1.682430691741894,Makkah Province,Riyadh Province,1900.0,0
2021-09-29 22:30:00,Domestic,سيراميك,تريلا ستائر,الرياض,جدة,973.439,2.36637658188652e-06,1350.0,1682,الرياض → جدة,1.3868357442017425,Riyadh Province,Makkah Province,1350.0,0
2020-12-20 12:30:00,Domestic,مياه,تريلا ستائر,الخرج,جدة,1070.533,2.655626438038201e-07,1400.0,1966,الخرج → جدة,1.3077597794743367,Riyadh Province,Makkah Province,1400.0,0
2021-02-09 09:00:00,Domestic,زجاج,تريلا فرش,الرياض,جدة,980.684,3.933241817165868e-07,1400.0,1915,الرياض → جدة,1.4275750394622528,Riyadh Province,Makkah Province,1300.0,0
2021-02-24 22:30:00,Domestic,سلع إستهلاكية,تريلا فرش,جدة,ينبع,344.259,4.44904800194172e-07,700.0,1899,جدة → ينبع,2.033352795424375,Makkah Province,Madinah Province,800.0,0
